# title: 2022 President by Barangay
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
1380605007,BARANGAY 303,274,140,13,254,9,1,0,0,0,1
1380605008,BARANGAY 304,342,94,8,145,5,3,0,0,0,2
1380605009,BARANGAY 305,433,187,10,376,14,0,2,1,0,0
1380605012,BARANGAY 310,2656,827,79,1607,61,15,5,5,8,3
1380605013,BARANGAY 311,507,151,20,313,11,0,1,3,0,1
1380605014,BARANGAY 312,745,172,23,406,17,0,1,3,1,2
1380605015,BARANGAY 313,509,261,7,365,20,0,1,0,2,0
1380605016,BARANGAY 314,469,141,7,208,20,1,0,1,2,0
1380605017,BARANGAY 315,426,408,11,310,25,0,1,1,0,0
1380605018,BARANGAY 316,210,106,6,190,5,0,0,0,1,0
1380605019,BARANGAY 317,340,197,3,318,10,0,0,0,0,0
1380605020,BARANGAY 318,189,123,11,159,10,0,0,0,0,0
1380605021,BARANGAY 319,196,167,5,185,8,0,0,0,0,1
1380605022,BARANGAY 320,327,150,10,130,11,0,0,0,1,0
1380605023,BARANGAY 321,146,91,2,101,4,0,0,0,0,0
1380605024,BARANGAY 322,196,135,1,93,7,0,0,1,0,0
1380605025,BARANGAY 323,355,239,2,296,18,2,2,1,3,1
1380605026,BARANGAY 324,129,87,1,157,10,0,0,0,0,1
1380605027,BARANGAY 325,203,97,0,118,7,0,0,0,0,0
1380605028,BARANGAY 326,196,99,3,169,5,0,0,1,0,0
1380605029,BARANGAY 327,438,214,11,383,8,0,0,1,0,0
1380605030,BARANGAY 328,255,109,0,134,5,1,0,0,0,0
1380605031,BARANGAY 329,218,75,2,55,17,0,0,2,0,0
1380605032,BARANGAY 330,433,158,9,320,11,1,2,0,2,0
1380605033,BARANGAY 331,312,107,4,165,7,0,0,0,0,0
1380605034,BARANGAY 332,148,99,1,151,11,0,0,0,1,0
1380605035,BARANGAY 333,343,156,6,227,8,0,2,1,1,1
1380605036,BARANGAY 334,445,159,9,410,16,1,0,1,0,1
1380605037,BARANGAY 335,383,138,7,173,18,1,0,0,0,1
1380605038,BARANGAY 336,423,265,4,284,13,1,0,5,0,1
1380605039,BARANGAY 337,310,180,5,202,12,0,1,1,0,2
1380605040,BARANGAY 338,258,243,7,187,13,0,1,0,0,2
1380605041,BARANGAY 339,372,178,6,216,9,1,1,2,0,3
1380605042,BARANGAY 340,508,243,17,320,22,0,1,1,1,1
1380605043,BARANGAY 341,364,255,3,318,18,0,0,0,0,0
1380605044,BARANGAY 342,323,270,2,274,23,0,0,1,0,0
1380605045,BARANGAY 343,403,259,4,477,8,1,0,1,0,0
1380605046,BARANGAY 344,240,154,0,148,9,0,0,0,0,0
1380605047,BARANGAY 345,321,206,5,290,7,0,0,3,0,1
1380605048,BARANGAY 346,331,166,5,167,7,0,0,1,2,0
1380605049,BARANGAY 347,250,149,7,243,15,0,0,1,1,0
1380605050,BARANGAY 348,220,148,5,220,6,0,1,1,0,2
1380605051,BARANGAY 349,228,146,1,370,8,0,1,2,0,0
1380605052,BARANGAY 350,202,400,5,121,8,0,1,0,1,0
1380605053,BARANGAY 351,643,403,13,652,13,4,0,2,1,0
1380605054,BARANGAY 352,266,217,3,422,18,0,0,0,1,1
1380605055,BARANGAY 353,450,393,4,319,26,1,2,6,0,1
1380605056,BARANGAY 354,345,254,8,302,15,0,1,0,0,0
1380605057,BARANGAY 355,218,165,4,225,16,0,1,2,0,0
1380605058,BARANGAY 356,367,133,13,211,6,1,0,2,1,3
1380605059,BARANGAY 357,235,176,5,251,12,3,0,1,0,1
1380605060,BARANGAY 358,233,135,1,111,8,0,0,0,0,0
1380605061,BARANGAY 359,226,89,1,165,5,1,0,0,0,1
1380605062,BARANGAY 360,300,160,5,230,15,1,0,1,0,0
1380605063,BARANGAY 361,207,150,2,172,14,0,0,0,1,1
1380605064,BARANGAY 362,88,63,2,131,5,0,1,0,0,0
