level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
city,REGION I,,Regional Total,56323833,7205757,49118076,12506600,8837007,-233123,3436470,12512097,2252065,14764162
city,REGION II,,Regional Total,27025839,9417882,17607957,8381325,7039771,-60602,1280951,3122948,-166256,2956692
city,REGION III,,Regional Total,83031914,30295847,52736067,29203836,25722173,1896,3483559,16712442,362536,17074979
city,REGION IV-A,,Regional Total,204568521,55818560,148749961,67809823,59956955,178997,8031866,53184483,-1629414,51555068
city,REGION IV-B,,Regional Total,22137675,4665492,17472183,6575695,5421794,-44561,1109340,6155244,-163308,5991936
city,REGION V,,Regional Total,32662652,8705003,23957649,9240805,8340177,35234,935862,5903854,384838,6288691
city,REGION VI,,Regional Total,103604535,24269973,79334563,26094242,23584849,-42259,2467134,18058514,-568740,17489775
city,REGION VII,,Regional Total,126626973,31700215,94926758,30251121,27157790,470806,3564137,23918014,1175232,25093246
city,REGION VIII,,Regional Total,36617051,6433609,30183442,11058383,9859986,280771,1479167,9301611,-279508,9022103
city,REGION IX,,Regional Total,43683456,8147994,35535462,9687070,7428614,61968,2320424,13029326,-321972,12707354
city,REGION X,,Regional Total,56614634,19980365,36634270,18737730,17072285,-216817,1448629,9794677,-1033769,8760908
city,REGION XI,,Regional Total,60424942,18093991,42330951,26626142,18615441,-265425,7745277,20471924,2872994,23344918
city,REGION XII,,Regional Total,19329545,4705977,14623568,8207045,7691018,-149399,366629,6151746,-897417,5254329
city,REGION XIII,,Regional Total,52373199,5807628,46565570,9532159,7076074,-130549,2325536,10556392,-56654,10499737
city,BARMM,,Regional Total,13957604,4842525,9115079,4553282,4152376,-35178,365728,2159322,-473983,1685339
municipality,NCR,,Regional Total,794388,173125,621262,513656,392359,-11806,109491,220894,106713,327607
municipality,CAR,Abra,Sub-Total,12274241,1230798,11043443,3872297,2608668,-6926,1256703,774823,962410,1737233
municipality,CAR,Apayao,Sub-Total,5184176,871958,4312218,1797886,1544101,264745,518530,1134504,9237,1143740
municipality,CAR,Benguet,Sub-Total,18264252,1256599,17007653,3245749,2752250,-37898,455601,3014539,-12288,3002251
municipality,CAR,Ifugao,Sub-Total,5396546,1027114,4369432,1882296,1736548,-53469,92279,1072891,8356,1081247
