dataset_id,psgc,value,category,detail
elections-2022-president,1200000000,,Bongbong Marcos,"{""Isko_Moreno"":45990,""Ping_Lacson"":22394,""Leni_Robredo"":286909,""Ernesto_Abella"":5090,""Manny_Pacquiao"":402089,""Bongbong_Marcos"":1301012,""Jose_Montemayor"":2972,""Leody_de_Guzman"":3668,""Faisal_Mangondato"":13908,""Norberto_Gonzales"":3984}"
elections-2022-president,1600000000,,Bongbong Marcos,"{""Isko_Moreno"":23235,""Ping_Lacson"":11060,""Leni_Robredo"":294131,""Ernesto_Abella"":5067,""Manny_Pacquiao"":169895,""Bongbong_Marcos"":977843,""Jose_Montemayor"":2233,""Leody_de_Guzman"":3130,""Faisal_Mangondato"":1895,""Norberto_Gonzales"":3845}"
elections-2022-president,0400000000,,Bongbong Marcos,"{""Isko_Moreno"":354217,""Ping_Lacson"":246807,""Leni_Robredo"":2646367,""Ernesto_Abella"":9878,""Manny_Pacquiao"":198829,""Bongbong_Marcos"":3989451,""Jose_Montemayor"":6099,""Leody_de_Guzman"":11729,""Faisal_Mangondato"":7660,""Norberto_Gonzales"":8981}"
elections-2022-president,1700000000,,Bongbong Marcos,"{""Isko_Moreno"":75131,""Ping_Lacson"":39006,""Leni_Robredo"":530533,""Ernesto_Abella"":4291,""Manny_Pacquiao"":223256,""Bongbong_Marcos"":712329,""Jose_Montemayor"":2443,""Leody_de_Guzman"":3505,""Faisal_Mangondato"":3521,""Norberto_Gonzales"":3410}"
elections-2022-president,1900000000,,Bongbong Marcos,"{""Isko_Moreno"":56833,""Ping_Lacson"":5024,""Leni_Robredo"":431673,""Ernesto_Abella"":3286,""Manny_Pacquiao"":35936,""Bongbong_Marcos"":738196,""Jose_Montemayor"":1085,""Leody_de_Guzman"":1365,""Faisal_Mangondato"":195000,""Norberto_Gonzales"":2724}"
elections-2022-president,1400000000,,Bongbong Marcos,"{""Isko_Moreno"":13363,""Ping_Lacson"":21343,""Leni_Robredo"":88649,""Ernesto_Abella"":1140,""Manny_Pacquiao"":20206,""Bongbong_Marcos"":748395,""Jose_Montemayor"":1319,""Leody_de_Guzman"":1065,""Faisal_Mangondato"":1159,""Norberto_Gonzales"":867}"
elections-2022-president,1300000000,,Bongbong Marcos,"{""Isko_Moreno"":525663,""Ping_Lacson"":137920,""Leni_Robredo"":1817465,""Ernesto_Abella"":4045,""Manny_Pacquiao"":92728,""Bongbong_Marcos"":3287785,""Jose_Montemayor"":4441,""Leody_de_Guzman"":9053,""Faisal_Mangondato"":9156,""Norberto_Gonzales"":5119}"
elections-2022-president,0102800000,,Bongbong Marcos,"{""Isko_Moreno"":1426,""Ping_Lacson"":1928,""Leni_Robredo"":10043,""Ernesto_Abella"":280,""Manny_Pacquiao"":1046,""Bongbong_Marcos"":356221,""Jose_Montemayor"":193,""Leody_de_Guzman"":200,""Faisal_Mangondato"":164,""Norberto_Gonzales"":192}"
elections-2022-president,0102900000,,Bongbong Marcos,"{""Isko_Moreno"":1511,""Ping_Lacson"":1756,""Leni_Robredo"":15671,""Ernesto_Abella"":385,""Manny_Pacquiao"":1282,""Bongbong_Marcos"":391973,""Jose_Montemayor"":176,""Leody_de_Guzman"":216,""Faisal_Mangondato"":343,""Norberto_Gonzales"":220}"
elections-2022-president,0103300000,,Bongbong Marcos,"{""Isko_Moreno"":2868,""Ping_Lacson"":3378,""Leni_Robredo"":24566,""Ernesto_Abella"":472,""Manny_Pacquiao"":2859,""Bongbong_Marcos"":425792,""Jose_Montemayor"":266,""Leody_de_Guzman"":564,""Faisal_Mangondato"":262,""Norberto_Gonzales"":337}"
elections-2022-president,0105500000,,Bongbong Marcos,"{""Isko_Moreno"":42397,""Ping_Lacson"":24013,""Leni_Robredo"":280156,""Ernesto_Abella"":3531,""Manny_Pacquiao"":29341,""Bongbong_Marcos"":1378128,""Jose_Montemayor"":1776,""Leody_de_Guzman"":3150,""Faisal_Mangondato"":1701,""Norberto_Gonzales"":2786}"
elections-2022-president,0200900000,,Leni Robredo,"{""Isko_Moreno"":725,""Ping_Lacson"":567,""Leni_Robredo"":5195,""Ernesto_Abella"":17,""Manny_Pacquiao"":182,""Bongbong_Marcos"":4358,""Jose_Montemayor"":11,""Leody_de_Guzman"":34,""Faisal_Mangondato"":7,""Norberto_Gonzales"":25}"
elections-2022-president,0201500000,,Bongbong Marcos,"{""Isko_Moreno"":5644,""Ping_Lacson"":6001,""Leni_Robredo"":47384,""Ernesto_Abella"":1163,""Manny_Pacquiao"":5505,""Bongbong_Marcos"":556613,""Jose_Montemayor"":651,""Leody_de_Guzman"":1037,""Faisal_Mangondato"":577,""Norberto_Gonzales"":739}"
elections-2022-president,0203100000,,Bongbong Marcos,"{""Isko_Moreno"":9468,""Ping_Lacson"":8302,""Leni_Robredo"":82132,""Ernesto_Abella"":1960,""Manny_Pacquiao"":13040,""Bongbong_Marcos"":763274,""Jose_Montemayor"":1050,""Leody_de_Guzman"":1287,""Faisal_Mangondato"":775,""Norberto_Gonzales"":1099}"
elections-2022-president,0205000000,,Bongbong Marcos,"{""Isko_Moreno"":5499,""Ping_Lacson"":4546,""Leni_Robredo"":25339,""Ernesto_Abella"":367,""Manny_Pacquiao"":7932,""Bongbong_Marcos"":200111,""Jose_Montemayor"":335,""Leody_de_Guzman"":377,""Faisal_Mangondato"":302,""Norberto_Gonzales"":232}"
elections-2022-president,0205700000,,Bongbong Marcos,"{""Isko_Moreno"":2545,""Ping_Lacson"":2093,""Leni_Robredo"":8134,""Ernesto_Abella"":169,""Manny_Pacquiao"":4726,""Bongbong_Marcos"":84515,""Jose_Montemayor"":276,""Leody_de_Guzman"":165,""Faisal_Mangondato"":77,""Norberto_Gonzales"":114}"
elections-2022-president,0300800000,,Bongbong Marcos,"{""Isko_Moreno"":21158,""Ping_Lacson"":9767,""Leni_Robredo"":109757,""Ernesto_Abella"":671,""Manny_Pacquiao"":7452,""Bongbong_Marcos"":334642,""Jose_Montemayor"":324,""Leody_de_Guzman"":544,""Faisal_Mangondato"":453,""Norberto_Gonzales"":1508}"
elections-2022-president,0301400000,,Bongbong Marcos,"{""Isko_Moreno"":92610,""Ping_Lacson"":44934,""Leni_Robredo"":500285,""Ernesto_Abella"":2399,""Manny_Pacquiao"":36467,""Bongbong_Marcos"":1040157,""Jose_Montemayor"":1380,""Leody_de_Guzman"":3056,""Faisal_Mangondato"":1517,""Norberto_Gonzales"":2312}"
elections-2022-president,0304900000,,Bongbong Marcos,"{""Isko_Moreno"":27862,""Ping_Lacson"":26795,""Leni_Robredo"":236827,""Ernesto_Abella"":1956,""Manny_Pacquiao"":13665,""Bongbong_Marcos"":945388,""Jose_Montemayor"":1005,""Leody_de_Guzman"":1576,""Faisal_Mangondato"":1244,""Norberto_Gonzales"":1602}"
elections-2022-president,0305400000,,Bongbong Marcos,"{""Isko_Moreno"":56796,""Ping_Lacson"":19142,""Leni_Robredo"":370624,""Ernesto_Abella"":1933,""Manny_Pacquiao"":24158,""Bongbong_Marcos"":865122,""Jose_Montemayor"":1156,""Leody_de_Guzman"":1605,""Faisal_Mangondato"":1354,""Norberto_Gonzales"":2471}"
elections-2022-president,0306900000,,Bongbong Marcos,"{""Isko_Moreno"":21660,""Ping_Lacson"":9830,""Leni_Robredo"":291410,""Ernesto_Abella"":1422,""Manny_Pacquiao"":12513,""Bongbong_Marcos"":426626,""Jose_Montemayor"":573,""Leody_de_Guzman"":1040,""Faisal_Mangondato"":649,""Norberto_Gonzales"":1399}"
elections-2022-president,0307100000,,Bongbong Marcos,"{""Isko_Moreno"":17214,""Ping_Lacson"":9969,""Leni_Robredo"":114105,""Ernesto_Abella"":703,""Manny_Pacquiao"":10487,""Bongbong_Marcos"":291252,""Jose_Montemayor"":532,""Leody_de_Guzman"":752,""Faisal_Mangondato"":878,""Norberto_Gonzales"":633}"
elections-2022-president,0307700000,,Bongbong Marcos,"{""Isko_Moreno"":3026,""Ping_Lacson"":2960,""Leni_Robredo"":29660,""Ernesto_Abella"":243,""Manny_Pacquiao"":6071,""Bongbong_Marcos"":83719,""Jose_Montemayor"":161,""Leody_de_Guzman"":203,""Faisal_Mangondato"":116,""Norberto_Gonzales"":187}"
elections-2022-president,0500500000,,Leni Robredo,"{""Isko_Moreno"":6331,""Ping_Lacson"":4992,""Leni_Robredo"":608779,""Ernesto_Abella"":2207,""Manny_Pacquiao"":8557,""Bongbong_Marcos"":112651,""Jose_Montemayor"":845,""Leody_de_Guzman"":1743,""Faisal_Mangondato"":614,""Norberto_Gonzales"":1736}"
elections-2022-president,0501600000,,Leni Robredo,"{""Isko_Moreno"":4426,""Ping_Lacson"":2486,""Leni_Robredo"":239353,""Ernesto_Abella"":951,""Manny_Pacquiao"":6133,""Bongbong_Marcos"":66995,""Jose_Montemayor"":359,""Leody_de_Guzman"":730,""Faisal_Mangondato"":300,""Norberto_Gonzales"":677}"
elections-2022-president,0501700000,,Leni Robredo,"{""Isko_Moreno"":3936,""Ping_Lacson"":3198,""Leni_Robredo"":958905,""Ernesto_Abella"":2992,""Manny_Pacquiao"":6950,""Bongbong_Marcos"":102921,""Jose_Montemayor"":764,""Leody_de_Guzman"":1225,""Faisal_Mangondato"":564,""Norberto_Gonzales"":1271}"
elections-2022-president,0502000000,,Leni Robredo,"{""Isko_Moreno"":2567,""Ping_Lacson"":2101,""Leni_Robredo"":123805,""Ernesto_Abella"":713,""Manny_Pacquiao"":3543,""Bongbong_Marcos"":31454,""Jose_Montemayor"":425,""Leody_de_Guzman"":477,""Faisal_Mangondato"":143,""Norberto_Gonzales"":393}"
elections-2022-president,0504100000,,Leni Robredo,"{""Isko_Moreno"":9388,""Ping_Lacson"":4008,""Leni_Robredo"":186998,""Ernesto_Abella"":3581,""Manny_Pacquiao"":64480,""Bongbong_Marcos"":162037,""Jose_Montemayor"":696,""Leody_de_Guzman"":1521,""Faisal_Mangondato"":655,""Norberto_Gonzales"":1804}"
elections-2022-president,0506200000,,Leni Robredo,"{""Isko_Moreno"":6849,""Ping_Lacson"":4153,""Leni_Robredo"":333614,""Ernesto_Abella"":1619,""Manny_Pacquiao"":9986,""Bongbong_Marcos"":90523,""Jose_Montemayor"":603,""Leody_de_Guzman"":1381,""Faisal_Mangondato"":486,""Norberto_Gonzales"":1073}"
elections-2022-president,0600400000,,Bongbong Marcos,"{""Isko_Moreno"":16764,""Ping_Lacson"":4238,""Leni_Robredo"":146284,""Ernesto_Abella"":949,""Manny_Pacquiao"":20087,""Bongbong_Marcos"":146323,""Jose_Montemayor"":574,""Leody_de_Guzman"":587,""Faisal_Mangondato"":506,""Norberto_Gonzales"":548}"
elections-2022-president,0600600000,,Leni Robredo,"{""Isko_Moreno"":22126,""Ping_Lacson"":5312,""Leni_Robredo"":142663,""Ernesto_Abella"":1147,""Manny_Pacquiao"":30190,""Bongbong_Marcos"":115027,""Jose_Montemayor"":641,""Leody_de_Guzman"":846,""Faisal_Mangondato"":303,""Norberto_Gonzales"":685}"
elections-2022-president,0601900000,,Leni Robredo,"{""Isko_Moreno"":16543,""Ping_Lacson"":4336,""Leni_Robredo"":216236,""Ernesto_Abella"":1585,""Manny_Pacquiao"":21667,""Bongbong_Marcos"":165903,""Jose_Montemayor"":611,""Leody_de_Guzman"":1099,""Faisal_Mangondato"":351,""Norberto_Gonzales"":1150}"
elections-2022-president,0603000000,,Leni Robredo,"{""Isko_Moreno"":36490,""Ping_Lacson"":13953,""Leni_Robredo"":728781,""Ernesto_Abella"":3223,""Manny_Pacquiao"":80359,""Bongbong_Marcos"":459261,""Jose_Montemayor"":1633,""Leody_de_Guzman"":2765,""Faisal_Mangondato"":846,""Norberto_Gonzales"":2224}"
elections-2022-president,1804500000,,Leni Robredo,"{""Isko_Moreno"":45434,""Ping_Lacson"":21788,""Leni_Robredo"":640148,""Ernesto_Abella"":6033,""Manny_Pacquiao"":203856,""Bongbong_Marcos"":604158,""Jose_Montemayor"":2429,""Leody_de_Guzman"":3806,""Faisal_Mangondato"":1263,""Norberto_Gonzales"":3368}"
